INSEE_C;taux_vacance_25_pct;taux_vacance_long_25_pct
02571;6.38;
02574;10.81;6.91
02575;10.62;6.85
02580;9.03;5.61
02587;;
02593;2.98;
02602;6.55;2.9
02605;;
02610;5.25;
02615;;
02617;7.55;
02618;6.97;
02619;10.23;
02624;11.73;
02633;;
02639;;
02648;8.92;5.52
02651;;
02653;8.59;4.3
02666;14.29;10.71
02668;9.91;5.73
02676;9.02;3.9
02680;7.45;4.34
02684;10.39;5.54
02688;;
02689;;
02691;12.16;6.31
02694;11.81;6.3
02706;7.22;
02708;;
02709;7.61;
02710;4.65;
02714;7.14;
02719;5.44;3.35
02720;11.35;7.57
02722;9.38;5.18
02723;;
02729;;
02730;;
02738;7.98;3.97
02743;;
02749;;
02753;8.7;
02754;;
02755;5.48;
02758;7.66;4.04
02761;;
02765;;
02769;10.57;7.14
02773;;
02780;5.46;
02784;;
02785;8.2;4.6
02788;6.28;
02789;16.13;10.75
02790;;
02793;;
02795;7.29;5.39
02799;6.9;
02805;6.21;2.82
02809;;
02810;8.3;5.26
02814;;
02818;11.63;6.28
02820;5.69;2.72
02821;;
02823;;
02828;;0.0
02829;;
02830;9.35;6.23
03001;6.02;3.19
03002;6.63;
03003;17.14;12.75
03005;17.96;12.62
03006;20.09;13.82
03012;5.82;
03013;4.22;2.08
03015;;
03016;14.29;
03018;8.19;
03019;9.62;7.16
03022;14.53;10.79
03023;6.47;2.95
03024;12.68;6.34
03025;9.62;4.66
03031;17.74;
03036;13.39;9.14
03039;13.7;
03043;7.85;4.92
03044;8.62;5.83
03045;13.91;10.39
03046;17.65;13.53
03048;17.79;13.2
03052;10.3;6.55
03053;10.96;7.89
03055;14.1;11.39
03060;3.0;
03063;8.89;5.73
03065;11.29;
03066;15.13;10.4
03069;16.49;
03072;15.99;
03073;6.55;
03074;8.33;
03077;21.82;
03080;9.45;6.1
03082;17.85;11.48
03084;12.06;8.26
03086;11.11;
03087;15.38;10.63
03090;11.49;
03092;11.85;8.4
03093;3.68;
03094;6.41;3.05
03095;8.6;5.04
03096;;
03098;11.2;6.41
03100;11.56;9.61
03101;9.34;5.6
03102;11.9;7.89
03103;19.97;15.02
03104;15.27;12.25
03106;11.96;8.67
03107;15.34;10.57
03108;20.66;
03109;11.05;6.84
03110;6.58;4.12
03111;7.09;3.63
03113;17.07;13.7
03114;11.51;
03118;11.07;6.54
03119;14.18;9.58
03120;12.4;8.63
03122;14.57;
03126;5.41;
03127;16.12;11.36
03128;12.11;7.21
03132;16.67;12.24
03134;21.31;
03135;16.67;11.36
03138;13.98;9.08
03139;27.74;24.57
03140;9.09;5.05
