INSEE_C;DEP;n;p25;p50;p75;n_small;p50_small
06016;06;51;2712.5;3266.67;4377.67;43;3459.26
06017;06;1;3930.83;3930.83;3930.83;0;0
06018;06;181;3720.93;4823.53;5625;96;4331.19
06019;06;29;3229.17;3551.72;4250;13;3589.74
06020;06;22;1267.05;1825;2195.62;11;1927.27
06021;06;7;1660.83;1971.43;3061.86;3;1875
06022;06;7;2006.37;2232.14;2886.36;2;2886.36
06023;06;82;754.55;1390.48;1902.53;48;1244.59
06024;06;3;787.57;860.85;936.38;3;860.85
06025;06;21;1947.37;2588.89;3395.52;9;2588.89
06026;06;17;2244.9;3022.22;4300.17;8;3373.23
06027;06;2680;3761.4;4501.54;5325.4;1471;4716.65
06028;06;10;1610.25;1752.51;2270.24;7;1866.67
06029;06;7734;4125;5463.75;7317.07;4169;5384.62
06030;06;2867;3124.14;3734.94;4520;1330;3893.8
06031;06;3;1708.4;1775;2487.5;1;3200
06032;06;239;6430.75;7766.79;9668.75;142;7939.49
06033;06;220;2695.29;3683.73;4773.09;56;4874.49
06034;06;5;2349.4;3526.32;3642.24;2;3119.46
06035;06;25;2485.71;3284.38;4500;16;2853.33
06036;06;14;2900;3064.58;3956.25;9;3066.67
06037;06;2;2179.17;2275;2370.83;1;2083.33
06038;06;27;2738.89;4042.55;5208.69;14;3968.09
06039;06;4;1906.25;2656.75;3266.38;2;2812.5
06040;06;2;724.31;734.34;744.36;0;0
06041;06;10;1512.25;1661.88;1798.72;7;1727.27
06042;06;5;1500;1622.22;1787.88;4;1561.11
06043;06;11;2080.88;2450;2740.45;5;2450
06044;06;93;3923.86;4803.23;5476.19;34;5206.06
06046;06;16;3522.84;4132.28;4452.32;7;4313.73
06047;06;4;641.48;967.58;1559.22;3;1218.75
06048;06;71;2160.9;2833.33;3490.9;25;3076.92
06049;06;2;646.77;672.84;698.92;2;672.84
06050;06;2;1968.08;2126.4;2284.72;0;0
06051;06;6;940.1;1171.88;1437.5;5;1250
06053;06;3;1261.9;1666.67;1800.55;0;0
06054;06;57;1683.54;2168.67;3666.67;21;3977.27
06055;06;5;1648.35;2076.92;2243.59;1;2500
06056;06;5;809.2;845.07;961.54;4;885.37
06057;06;58;1970.89;2286.36;2887.82;28;2286.36
06058;06;3;1559.35;2200;2644.87;2;2644.87
06059;06;109;6022.73;7234.04;9461.54;37;7346.94
06060;06;5;3658.54;3913.04;4748.35;0;0
06062;06;12;718.14;862.61;1125.79;10;862.61
06064;06;33;2900;3488.37;4306.33;15;4038.46
06065;06;32;3926.61;4419.01;4907.58;6;5097.44
06066;06;22;2319;2675;4851.83;13;2500
06067;06;30;4389.75;5100.54;5767.2;22;5100.54
06068;06;6;3147.12;3326.32;3410;3;3433.33
06069;06;1889;2200;2881.36;3526.32;861;2900
06070;06;100;1344.96;1632.11;2045.63;81;1573.53
06071;06;58;3350.81;3910.52;4913.82;50;3966.07
06073;06;316;3783.77;4472.56;5306.17;296;4469.05
06074;06;37;1063.83;1653.85;2137.93;24;1690.56
06075;06;42;2357.66;2819.81;3352.67;16;3115.91
06077;06;35;1117.31;1760;2178.35;21;1927.27
06078;06;5;1304.35;1857.14;2055.56;4;1956.35
06079;06;2296;3927.44;4692.58;5710.67;1369;4644.34
06080;06;1;2111.03;2111.03;2111.03;1;2111.03
06081;06;1;1169.81;1169.81;1169.81;1;1169.81
06082;06;2;1133.99;1385.62;1637.25;2;1385.62
06083;06;2840;3857.14;4716.03;5734.12;1769;4817.07
06084;06;153;3368.36;4050.86;4615.38;46;4000.67
06085;06;511;4057.49;4640;5408.58;257;4748.57
06086;06;26;955.88;1154.75;1444.79;21;1140
06087;06;1;1330.36;1330.36;1330.36;0;0
06088;06;22476;3602.21;4606.34;5805;11570;4705.88
06089;06;6;5625;5718.85;5895.43;2;5874.32
06090;06;150;3816.4;4404.96;4921.3;86;4500
06091;06;32;2486.51;2916.58;3746.59;18;2849.36
06092;06;11;1829;2750;3573;8;3048
06093;06;1;616.67;616.67;616.67;0;0
06094;06;139;3569.23;4450;5325.79;102;4452.24
06095;06;203;2426.14;3060;3880.3;146;2945.65
06096;06;1;666.67;666.67;666.67;1;666.67
06097;06;1;890.41;890.41;890.41;0;0
06099;06;46;930.68;1240.38;1833.35;20;1240.38
06100;06;1;2676.06;2676.06;2676.06;0;0
06101;06;3;780.76;851.06;1271.2;1;851.06
06102;06;2;1150;1300;1450;1;1600
06103;06;41;1899.17;2298.7;2672.41;20;2430.5
06104;06;1307;4846.46;5823.53;7150.97;821;5740.74
06105;06;30;4252.24;4728.47;5538.73;7;5888.89
06106;06;7;1477.27;1708.33;2251.89;4;1477.27
06108;06;74;3750.27;4404.55;4754.78;32;4627.31
06109;06;10;2173.98;2357.12;3781.25;4;4027.78
06110;06;10;1368.75;1775;2295.56;9;1750
06111;06;1;1031.25;1031.25;1031.25;1;1031.25
06112;06;37;4285.71;4727.27;5161.54;22;4781.77
06113;06;29;3410.96;3889.47;4213.11;8;3908.69
06114;06;132;3289.86;3770.78;4146.92;66;3963.04
06115;06;2;729.39;738.79;748.18;2;738.79
06116;06;4;675.67;858.53;1063.8;2;1058.42
06117;06;9;4827.59;5175.44;5348.28;0;0
06118;06;26;2564.29;2916.9;3402.05;15;2854.5
06119;06;3;1223.81;1400;2241.67;1;1400
06120;06;314;4289.55;5384.62;6503.45;255;5334.23
06121;06;99;10000;11618.18;14842.64;36;11523.78
06122;06;28;2883.62;3592.19;4048.44;16;3765.82
06123;06;1586;3666.67;4540.91;5424.92;774;4837.54
06125;06;4;503.42;524.11;606.86;0;0
06126;06;47;3201.56;3846.15;4501.32;20;3861.85
06127;06;140;1962.91;2593.26;3082.69;108;2622.46
06128;06;38;3803.7;5732.78;8017.3;7;6190.48
06129;06;24;1006.47;1248.1;1541.67;18;1248.1
06130;06;37;2576.92;3035.71;3478.26;25;3023.81
06132;06;29;930.23;1129.03;1783.33;19;1375
06133;06;1;1025.97;1025.97;1025.97;0;0
06134;06;20;1032.82;1195.17;1695.32;10;1278.13
06135;06;5;472.97;850;1123.6;3;850
06136;06;139;1646.67;2423.73;2866.17;73;2430.56
06137;06;7;2346.66;4200;4446.8;1;4613.6
06138;06;278;5297.91;6522.15;8217.93;161;6076.92
06139;06;1;2030.3;2030.3;2030.3;1;2030.3
06140;06;5;2272.73;4220.34;4833.33;1;6996.95
06141;06;5;750;1388.89;1977.78;4;1683.33
06142;06;9;2136.99;2642.86;2872.22;5;2872.22
06143;06;14;1332.83;1718.75;2218.87;6;2360.61
06144;06;9;857.14;943.4;1375;4;1638.36
06145;06;3;1353.84;1931.82;2464.24;1;2996.67
06147;06;29;2955.56;4200;5177.78;18;4337.98
06148;06;29;3010.2;4129.07;5084.75;18;4377.03
06149;06;207;2642.59;3179.35;3811.83;67;3780
06150;06;72;3777.78;4803.23;5930;44;4803.23
06151;06;17;1333.33;1577.38;2132.87;11;1702.13
06152;06;260;3280.08;4113.67;5074.23;123;4217.39
06153;06;69;1602.12;2057.14;2500;56;2063.33
06154;06;9;1406.25;1511.63;1625;7;1573.44
06155;06;1743;3211.54;4112.9;5167.59;1101;4296.3
06156;06;4;1430.56;1777.78;1878.79;3;1777.78
06157;06;764;3325.44;4000;4604.23;424;4096.48
06158;06;18;1289.04;1811.29;2236.03;11;1761.63
06159;06;470;5963.79;7700.79;10077.02;219;7222.22
06161;06;1118;4625.47;5676.82;6793.52;641;5851.85
06162;06;27;877.96;1100;1376.21;19;1075.95
06163;06;88;1015.31;1277.49;1743.55;56;1278.24
07008;07;1;1040;1040;1040;0;0
07009;07;6;1275.1;1312.99;1427.6;0;0
07010;07;447;826.49;1086.96;1417.42;123;1122.45
07011;07;5;1796;1861.82;3400;2;2630.91
07012;07;1;5409.72;5409.72;5409.72;1;5409.72
07019;07;336;1207.38;1534.9;1888.7;98;1468.27
07020;07;1;1363.64;1363.64;1363.64;0;0
07022;07;2;829.13;956.51;1083.89;0;0
07024;07;1;833.33;833.33;833.33;0;0
07027;07;6;2515.63;2634.53;2763.94;4;2634.53
07028;07;1;4736.84;4736.84;4736.84;0;0
07031;07;2;1540.83;1810.92;2081.02;1;1270.74
07034;07;1;1650;1650;1650;0;0
07035;07;1;943.4;943.4;943.4;1;943.4
07039;07;1;1964.29;1964.29;1964.29;0;0
07041;07;4;1165.49;1304.29;1372.8;3;1326.53
07042;07;126;871.89;1037.78;1322.45;13;2000
07045;07;9;1154.74;1521.57;1818.18;4;1760.06
07048;07;5;1136.36;1285.71;1458.33;2;1094.55
07050;07;1;2439.02;2439.02;2439.02;1;2439.02
07051;07;2;2599.54;2675.58;2751.62;1;2827.66
07054;07;1;1042.4;1042.4;1042.4;1;1042.4
