insee,dept,lon,lat,name
01240,01,5.52720,46.25050,Matafelon-Granges
01241,01,5.33470,46.24510,Meillonnas
01242,01,5.44250,46.06500,Mérignat
01243,01,4.76090,46.04800,Messimy-sur-Saône
01244,01,5.21160,45.90470,Meximieux
01245,01,5.37500,46.14220,Bohas-Meyriat-Rignat
01246,01,5.04810,46.24240,Mézériat
01247,01,6.01060,46.35930,Mijoux
01248,01,4.92740,45.89590,Mionnay
01249,01,4.94100,45.84440,Miribel
01250,01,4.81380,45.97450,Misérieux
01252,01,4.82030,46.14540,Mogneneins
01254,01,5.27760,46.17200,Montagnat
01255,01,5.45980,45.80200,Montagnieu
01257,01,5.79030,46.17100,Montanges
01258,01,4.80410,46.09780,Montceaux
01259,01,5.11230,46.21990,Montcet
01260,01,5.06990,45.92840,Le Montellier
01261,01,4.94800,45.96310,Monthieux
01262,01,5.01850,45.88680,Montluel
01263,01,4.75900,46.08430,Montmerle-sur-Saône
01264,01,5.12340,46.18200,Montracol
01265,01,5.59760,46.18100,Montréal-la-Cluse
01266,01,5.11220,46.32620,Montrevel-en-Bresse
01267,01,5.51550,46.18550,Nurieux-Volognat
01268,01,5.65850,45.64040,Murs-et-Gélignieux
01269,01,5.60790,46.14860,Nantua
01272,01,5.01030,46.15990,Neuville-les-Dames
01273,01,5.37020,46.09090,Neuville-sur-Ain
01274,01,5.63540,46.13670,Les Neyrolles
01275,01,4.93560,45.82040,Neyron
01276,01,5.06150,45.82410,Niévroz
01277,01,5.45670,46.00020,Nivollet-Montgriffon
01279,01,5.47160,45.96850,Oncieu
01280,01,5.54390,45.83570,Ordonnaz
01281,01,6.09530,46.27790,Ornex
01282,01,5.55430,46.06310,Outriaz
01283,01,5.65170,46.25990,Oyonnax
01284,01,4.91910,46.38630,Ozan
01285,01,4.82990,45.91970,Parcieux
01286,01,5.74950,45.73180,Parves et Nattages
01288,01,5.91410,46.19330,Péron
01289,01,5.21950,46.16930,Péronnas
01290,01,5.17910,45.87890,Pérouges
01291,01,4.97180,46.24620,Perrex
01293,01,5.50600,46.14860,Peyriat
01294,01,5.68290,45.67400,Peyrieu
01295,01,4.81920,46.12270,Peyzieux-sur-Saône
01296,01,5.27030,46.38600,Pirajoux
01297,01,5.09010,45.89060,Pizay
01298,01,5.71790,46.18890,Plagne
01299,01,5.08910,46.02360,Le Plantay
01301,01,5.13550,46.25040,Polliat
01302,01,5.74630,45.79530,Pollieu
01303,01,5.41290,46.09180,Poncin
01304,01,5.34910,46.05560,Pont-d'Ain
01305,01,4.92650,46.44150,Pont-de-Vaux
01306,01,4.88180,46.26470,Pont-de-Veyle
01307,01,5.58100,46.15350,Port
01308,01,5.94920,46.14570,Pougny
01309,01,5.42430,46.32630,Pouillat
01310,01,5.64230,45.68270,Prémeyzel
01311,01,5.56570,45.87850,Prémillieu
01313,01,6.07220,46.25940,Prévessin-Moëns
01314,01,5.28290,46.01900,Priay
01317,01,5.35690,46.18930,Ramasse
01318,01,4.86650,45.96740,Rancé
01319,01,4.93990,46.08080,Relevant
01320,01,4.87840,46.30700,Replonges
01321,01,5.33510,46.16370,Revonnas
01322,01,4.83140,45.93680,Reyrieux
01323,01,4.91450,46.42840,Reyssouze
01325,01,5.16750,45.95130,Rignieux-le-Franc
01328,01,5.02170,46.12160,Romans
01329,01,5.59870,45.83590,Rossillon
01331,01,5.45680,46.09680,Saint-Alban
01332,01,4.91320,46.29750,Saint-André-de-Bâgé
01333,01,4.95290,45.92870,Saint-André-de-Corcy
01334,01,4.91440,46.21630,Saint-André-d'Huiriat
01335,01,5.07750,46.11370,Saint-André-le-Bouchoux
01336,01,5.14300,46.15000,Saint-André-sur-Vieux-Jonc
01337,01,4.95200,46.45170,Saint-Bénigne
01338,01,5.58230,45.70110,Groslée-Saint-Benoit
01339,01,4.74190,45.95000,Saint-Bernard
01342,01,5.04770,45.89780,Sainte-Croix
01343,01,4.96690,46.27510,Saint-Cyr-sur-Menthon
01344,01,5.18250,46.20970,Saint-Denis-lès-Bourg
01345,01,5.32600,45.94970,Saint-Denis-en-Bugey
01346,01,5.05360,46.30750,Saint-Didier-d'Aussiat
01347,01,4.77670,45.95870,Saint-Didier-de-Formans
01348,01,4.82300,46.18770,Saint-Didier-sur-Chalaronne
01349,01,5.15070,45.93430,Saint-Éloi
01350,01,5.27930,46.27550,Saint-Étienne-du-Bois
01351,01,4.86940,46.14510,Saint-Étienne-sur-Chalaronne
01352,01,5.00310,46.39980,Saint-Étienne-sur-Reyssouze
01353,01,4.79270,45.96510,Sainte-Euphémie
01354,01,6.03680,46.25560,Saint-Genis-Pouilly
01355,01,5.01620,46.28100,Saint-Genis-sur-Menthon
01356,01,5.02860,46.10330,Saint-Georges-sur-Renon
01357,01,5.74350,46.18120,Saint-Germain-de-Joux
01358,01,5.61910,45.77300,Saint-Germain-les-Paroisses
01359,01,5.06260,46.07640,Saint-Germain-sur-Renon
01360,01,5.93950,46.21840,Saint-Jean-de-Gonville
01361,01,5.20660,45.83840,Saint-Jean-de-Niost
01362,01,4.89590,45.95970,Saint-Jean-de-Thurigneux
01363,01,5.37990,46.02800,Saint-Jean-le-Vieux
01364,01,5.05820,46.39120,Saint-Jean-sur-Reyssouze
01365,01,4.92030,46.26870,Saint-Jean-sur-Veyle
01366,01,5.28370,45.88020,Sainte-Julie
01367,01,5.10620,46.39770,Saint-Julien-sur-Reyssouze
01368,01,4.95590,46.20720,Saint-Julien-sur-Veyle
01369,01,5.28500,46.19480,Saint-Just
01370,01,4.83950,46.30530,Saint-Laurent-sur-Saône
01371,01,4.98620,45.94850,Saint-Marcel
01372,01,5.67790,45.84670,Saint-Martin-de-Bavel
01373,01,5.57110,46.13450,Saint-Martin-du-Frêne
01374,01,5.33000,46.10630,Saint-Martin-du-Mont
01375,01,5.12060,46.29030,Saint-Martin-le-Châtel
01376,01,4.97630,45.83250,Saint-Maurice-de-Beynost
01378,01,5.17200,45.81900,Saint-Maurice-de-Gourdans
01379,01,5.27060,45.95420,Saint-Maurice-de-Rémens
01380,01,5.17160,46.45490,Saint-Nizier-le-Bouchoux
01381,01,5.14710,46.05180,Saint-Nizier-le-Désert
01382,01,4.93490,46.01470,Sainte-Olive
01383,01,5.13090,46.09490,Saint-Paul-de-Varax
01384,01,5.44180,45.95300,Saint-Rambert-en-Bugey
01385,01,5.16460,46.18570,Saint-Rémy
01386,01,5.36900,45.88630,Saint-Sorlin-en-Bugey
01387,01,5.04060,46.32150,Saint-Sulpice
01388,01,5.06720,46.45800,Saint-Trivier-de-Courtes
01389,01,4.89840,46.06320,Saint-Trivier-sur-Moignans
01390,01,5.26700,45.82340,Saint-Vulbas
01391,01,5.34570,46.36300,Salavre
01392,01,5.58260,46.27320,Samognat
01393,01,4.98240,46.07090,Sandrans
01396,01,5.40070,45.86120,Sault-Brénaz
01397,01,6.11020,46.31320,Sauverny
01398,01,4.85590,45.99460,Savigneux
01399,01,6.07320,46.29440,Ségny
01400,01,5.50400,45.80060,Seillonnaz
01401,01,5.98720,46.26150,Sergy
01402,01,4.97330,46.49870,Sermoyer
01403,01,5.44240,45.81290,Serrières-de-Briord
01404,01,5.44720,46.14900,Serrières-sur-Ain
01405,01,5.18450,46.13660,Servas
01406,01,5.05870,46.43540,Servignat
01407,01,5.82570,45.94770,Seyssel
01408,01,5.42140,46.23500,Simandre-sur-Suran
01410,01,5.50150,46.22350,Sonthonnax-la-Montagne
01411,01,5.43680,45.88110,Souclin
01412,01,4.96010,46.17270,Sulignat
01415,01,5.71990,45.86270,Talissieu
01416,01,5.51470,45.92220,Tenay
01418,01,5.01890,45.81840,Thil
01419,01,5.96850,46.24480,Thoiry
01420,01,4.79630,46.16970,Thoissey
01421,01,5.40560,45.91890,Torcieu
01422,01,5.30760,46.13550,Tossiat
01423,01,4.82890,45.96100,Toussieux
01424,01,4.96240,45.87420,Tramoyes
01425,01,5.26560,46.09150,La Tranclière
01426,01,5.35370,46.28160,Val-Revermont
01427,01,4.77100,45.93980,Trévoux
01428,01,4.86460,46.11450,Valeins
01429,01,5.07860,46.21550,Vandeins
01430,01,5.29090,46.04430,Varambon
01431,01,5.36120,45.91840,Vaux-en-Bugey
01432,01,5.34720,46.34660,Verjon
01433,01,5.10360,46.48610,Vernoux
01434,01,5.11500,45.98830,Versailleux
01435,01,6.10080,46.29920,Versonnex
01436,01,6.08560,46.36340,Vesancy
01437,01,5.02860,46.47430,Vescours
01439,01,4.86380,46.35930,Vésines
01441,01,5.55550,46.08230,Vieu-d'Izenave
01443,01,5.04430,46.00000,Villars-les-Dombes
01444,01,5.44830,45.84990,Villebois
01445,01,5.30870,46.34180,Villemotier
01446,01,4.85980,46.03460,Villeneuve
01447,01,5.39360,46.19390,Villereversure
01448,01,5.75980,46.09520,Villes
01449,01,5.25400,46.01250,Villette-sur-Ain
01450,01,5.22650,45.92900,Villieu-Loyes-Mollon
01451,01,5.22570,46.25220,Viriat
01452,01,5.63900,45.84650,Virieu-le-Grand
01453,01,5.73460,45.91530,Arvière-en-Valromey
01454,01,5.71490,45.72820,Virignin
01456,01,5.72550,45.81220,Vongnes
01457,01,4.99450,46.21320,Vonnas
